FIPS code,County Name,Population Estimate 2016,Urban-Rural Designation
19001,Adair,"7,676",Rural
19003,Adams,"4,028",Rural
19005,Allamakee,"14,347",Rural
19007,Appanoose,"12,883",Rural
19009,Audubon,"6,115",Rural
19011,Benton,"26,073",Urban
19013,Black Hawk,"131,196",Urban
19015,Boone,"26,279",Rural
19017,Bremer,"24,290",Urban
19019,Buchanan,"20,948",Rural
19021,Buena Vista,"20,327",Rural
19023,Butler,"14,908",Rural
19025,Calhoun,"9,668",Rural
19027,Carroll,"20,830",Rural
19029,Cass,"13,950",Rural
19031,Cedar,"18,494",Rural
19033,Cerro Gordo,"44,107",Rural
19035,Cherokee,"12,112",Rural
19037,Chickasaw,"12,424",Rural
19039,Clarke,"9,304",Rural
19041,Clay,"16,648",Rural
19043,Clayton,"18,085",Rural
19045,Clinton,"49,120",Rural
19047,Crawford,"17,144",Rural
19049,Dallas,"66,673",Urban
19051,Davis,"8,776",Rural
19053,Decatur,"8,437",Rural
19055,Delaware,"17,785",Rural
19057,Des Moines,"40,288",Rural
19059,Dickinson,"16,672",Rural
19061,Dubuque,"93,888",Urban
19063,Emmet,"10,284",Rural
19065,Fayette,"20,864",Rural
19067,Floyd,"16,312",Rural
19069,Franklin,"10,691",Rural
19071,Fremont,"7,430",Rural
19073,Greene,"9,334",Rural
19075,Grundy,"12,454",Urban
19077,Guthrie,"10,959",Urban
19079,Hamilton,"15,650",Rural
19081,Hancock,"11,318",Rural
19083,Hardin,"17,536",Rural
19085,Harrison,"14,922",Urban
19087,Henry,"20,131",Rural
19089,Howard,"9,560",Rural
19091,Humboldt,"9,807",Rural
19093,Ida,"7,077",Rural
19095,Iowa,"16,338",Rural
19097,Jackson,"19,848",Rural
19099,Jasper,"36,816",Rural
19101,Jefferson,"16,800",Rural
19103,Johnson,"131,238",Urban
19105,Jones,"20,673",Urban
19107,Keokuk,"10,501",Rural
19109,Kossuth,"15,519",Rural
19111,Lee,"35,842",Rural
19113,Linn,"211,564",Urban
19115,Louisa,"11,374",Rural
19117,Lucas,"8,895",Rural
19119,Lyon,"11,585",Rural
19121,Madison,"15,733",Urban
19123,Mahaska,"22,399",Rural
19125,Marion,"33,261",Rural
19127,Marshall,"40,706",Rural
19129,Mills,"15,060",Urban
19131,Mitchell,"10,797",Rural
19133,Monona,"9,238",Rural
19135,Monroe,"7,984",Rural
19137,Montgomery,"10,714",Rural
19139,Muscatine,"42,732",Rural
19141,Oâ€™Brien,"14,386",Rural
19143,Osceola,"6,448",Rural
19145,Page,"15,933",Rural
19147,Palo Alto,"9,397",Rural
19149,Plymouth,"24,993",Urban
19151,Pocahontas,"7,283",Rural
19153,Polk,"432,256",Urban
19155,Pottawattamie,"93,385",Urban
19157,Poweshiek,"18,899",Rural
19159,Ringgold,"5,137",Rural
19161,Sac,"10,349",Rural
19163,Scott,"165,759",Urban
19165,Shelby,"12,173",Rural
19167,Sioux,"33,726",Rural
19169,Story,"89,567",Urban
19171,Tama,"17,743",Rural
19173,Taylor,"6,313",Rural
19175,Union,"12,517",Rural
19177,Van Buren,"7,559",Rural
19179,Wapello,"35,625",Rural
19181,Warren,"46,317",Urban
19183,Washington,"21,712",Urban
19185,Wayne,"6,408",Rural
19187,Webster,"37,884",Rural
19189,Winnebago,"10,840",Rural
19191,Winneshiek,"21,057",Rural
19193,Woodbury,"102,336",Urban
19195,Worth,"7,585",Rural
19197,Wright,"13,194",Rural
